小区名（链家）,district,小区均价,详情链接,小区名（百度）,具体地址,lng,lat,uid（百度）
嘉厚炫城国际,平谷,10558,https://bj.lianjia.com/xiaoqu/117126761877739/,嘉厚炫城国际,马坊新城马坊环岛西南角,117.00052553273092,40.04532916643623,6bf66a2ee0334e5e29fc481e
康庄住宅小区,延庆,11191,https://bj.lianjia.com/xiaoqu/1113581084798241/,康庄住宅小区,北京市延庆区西官路,115.90331674620268,40.37125261147623,8eb48fa1b67ad2a6f32d832b
岔道小区,延庆,11637,https://bj.lianjia.com/xiaoqu/1120025430717694/,岔道小区,北京市延庆区岔道小区(延庆区八达岭镇政府东),115.97333043699815,40.359679161428865,89fd4ea33f450944e5e96529
旭辉空港中心,顺义,11735,https://bj.lianjia.com/xiaoqu/1111046805732/,旭辉·空港中心,北京市顺义区金关北二街3号院,116.60525846013375,40.11391242727217,a83616ca6c1a6318246e9876
新华联科技大厦,通州,11826,https://bj.lianjia.com/xiaoqu/1111043008590/,新华联科技大厦,北京市通州区嘉创路5号,116.55372745254446,39.810329347239815,d146b3889a87a4de7402696a
溪水花园一区,密云,11826,https://bj.lianjia.com/xiaoqu/11000000015316/,溪水花园-1区,北京市密云区313省道附近,116.83660773186949,40.47265511666286,8e3429e0f028d9966c20b955
八达岭镇住宅小区,延庆,11907,https://bj.lianjia.com/xiaoqu/1115367372834946/,八达岭镇住宅小区,北京市延庆区八达岭小区(延庆区八达岭镇政府西),115.97020503201365,40.360922989757896,12aa5087e63b0c8aa4c75602
永安家园,密云,11987,https://bj.lianjia.com/xiaoqu/11000000009448/,永安家园,北京市平谷区新平西路63号,117.09637466483376,40.15118230451217,fc767524185286f94f776e80
天恒乐DO,房山,12170,https://bj.lianjia.com/xiaoqu/1120056623565779/,天恒·乐DO,北京市房山区紫码路天恒乐活城-北区东北侧约40米,116.07511050507222,39.7144259074043,c2cdbaca313dc0f89e82ea52
王平村西村,门头沟,12315,https://bj.lianjia.com/xiaoqu/1120038346942368/,王平村,北京市门头沟区,115.97696988751092,39.969578100471686,68a2ac5f40bfbb14715e8091
兴隆南街1号院,延庆,12357,https://bj.lianjia.com/xiaoqu/1120028278892681/,兴隆南街1号院-2号楼,北京市延庆区兴隆街雅虎楼南侧约170米,115.89510243640993,40.37049868242587,7212838feb73bf3348cc4af8
京溪小区,密云,12390,https://bj.lianjia.com/xiaoqu/1114551567839576/,京溪小区,北京市密云区溪翁庄人民公园附近,116.84534566994739,40.47133786805637,c1653405ce9c7479aa175a95
富力飞常HAOS,大兴,12457,https://bj.lianjia.com/xiaoqu/1111063676639/,富力飞常HAOS,北京市大兴区团结路20号,116.30926821310835,39.62949995684496,3b1f9f90c39e57e3db13186e
惠景新苑,房山,12623,https://bj.lianjia.com/xiaoqu/1111055097797/,惠景新苑,阎河路,115.98902997058835,39.79583785852853,d245ebad6c6a1d66b9df8f99
众智慧谷,密云,12977,https://bj.lianjia.com/xiaoqu/1120029992907096/,众智慧谷,北京市密云区经济开发区科技路甲18号,116.8041932530628,40.33642868503212,63fafe40465695030aa8d4ef
荣景公寓,房山,13128,https://bj.lianjia.com/xiaoqu/1111055789676/,荣景公寓,琉璃河镇白庄村G107,116.00672671478756,39.582640656378615,7909103dad98f97002294ff6
鼎顺嘉园,顺义,13196,https://bj.lianjia.com/xiaoqu/11000000000159/,鼎顺嘉园,顺义区顺仁路66号,116.65959673513834,40.0828756997596,c57f074455c39f3dee74f824
雅苑,房山,13286,https://bj.lianjia.com/xiaoqu/1111055781904/,雅苑,北京市房山区韩村河雅苑(岳琉路南70米),115.9414277277771,39.60110749931289,fd13a3f2683210fab1077dc4
启航国际三期,房山,13291,https://bj.lianjia.com/xiaoqu/1111052140454/,启航国际-3期,北京市房山区辰光东路16号,116.17523966693852,39.74202561845549,b2bd1f2bbd7f13bf49fc8d4d
韩村河西小区,房山,13311,https://bj.lianjia.com/xiaoqu/1111027374899/,韩村河西小区,北京市房山区圣园大街与圣园路交叉口西北200米,115.94426223279353,39.60095574179433,1eeed546382417f2b5147fc4
古桥镜水,房山,13371,https://bj.lianjia.com/xiaoqu/1111027374679/,古桥镜水,北京市房山区琉璃河镇南区66号,116.02303905393593,39.61091369837257,1020060f5e332dda1894c67d
中国铁建原香汇,房山,13385,https://bj.lianjia.com/xiaoqu/1111063623144/,中国铁建·原香汇,北京市房山区杏花东路与城洪路交界处,115.96484013196108,39.71480950845833,a56e03431468e336adcb6668
首创派尚国际,顺义,13412,https://bj.lianjia.com/xiaoqu/1111062933278/,首创派尚国际,北京市顺义区京承高速11出口向东900米路北,116.50898412584837,40.212633366521594,61b3bf982392f2da715e80c0
麓秀佳园,密云,13517,https://bj.lianjia.com/xiaoqu/1120034453353911/,麓秀佳园,北京市密云区溪翁庄密云水库南线185号,116.84326337002496,40.4744281190257,750ec165660e5a2b4d3a5995
鸿坤七星长安,门头沟,13563,https://bj.lianjia.com/xiaoqu/1114914598220031/,鸿坤七星长安,北京市门头沟区新桥南大街,116.10709502019346,39.92177811921986,48027a3b4d93c634fe0eb080
宏远临空总部港,顺义,13705,https://bj.lianjia.com/xiaoqu/116966020420490/,宏远临空总部港,北京市顺义区南陈路6号,116.60925002559308,40.11910740708615,6c0c9ed6c7e0b4bb4002459c
长城溪溪小镇,怀柔,13739,https://bj.lianjia.com/xiaoqu/1120025430718083/,长城溪溪小镇,北京市怀柔区长城溪溪小镇,116.32263274039546,40.409329213274006,6f465f1405756f709de321cc
王平大街东路17号院,门头沟,13775,https://bj.lianjia.com/xiaoqu/1111062372383/,王平大街东路17号院,门头沟区,115.98610498578364,39.9773154052473,null
绿地启航社,房山,13791,https://bj.lianjia.com/xiaoqu/1111047034761/,绿地启航社,北京市房山区天星街1号,116.1565412897866,39.75344003093191,85b81d556eea2aca8bf15d61
龙庆望都佳园,延庆,13802,https://bj.lianjia.com/xiaoqu/1120030842710920/,龙庆望都佳园,北京市延庆区康庄镇三街村西官路北侧,115.89253194347951,40.37569712567788,cc22986821652efeab175abe
太子务家属楼,密云,13898,https://bj.lianjia.com/xiaoqu/11000000009715/,太子务三区-36号楼,北京市密云区太子务三区36号楼,116.79278322738583,40.41341124122825,7ff0c1e1372dfc26d23ce346
羊耳峪北里,房山,13983,https://bj.lianjia.com/xiaoqu/1111054933093/,羊耳峪北里,北京市房山区羊北一巷,115.96693000547735,39.76129036483783,3dc9befd894f7616bea240c7
华城家园,房山,14032,https://bj.lianjia.com/xiaoqu/1111027374904/,华城家园,北京市房山区华城家园(良月乡南大街北60米),116.04412154151863,39.62654857217292,d1469ee7b3a54a62843304c7
新华联YOYO悦城,平谷,14107,https://bj.lianjia.com/xiaoqu/11000000000400/,新华联YOYO悦城,打铁庄路与金河街交叉路路西南,117.00329628925827,40.05759346460158,d4762dd2bf4c4348882fb5a7
逸品尚枫,昌平,14148,https://bj.lianjia.com/xiaoqu/1111027381939/,逸品尚枫公寓,小汤山镇沙顺路93号,116.38746088276696,40.17480006099623,e8161bcc9e9d0c84abf0cd99
沁馥家园,房山,14213,https://bj.lianjia.com/xiaoqu/1111027378799/,沁馥家园,北京市房山区大于路1号,116.06502281905377,39.67157782115175,8ab0dfc4706bb716d8ecedc7
熙旺中心,门头沟,14244,https://bj.lianjia.com/xiaoqu/1111027381300/,熙旺中心,北京市门头沟区双峪路35号院1号,116.10705380009182,39.93406927738941,8993cbc1d969b3c1e31103e7
大自然新城雅苑,房山,14263,https://bj.lianjia.com/xiaoqu/1111027374089/,大自然新城雅苑,北京市房山区韩村河雅苑(岳琉路南70米),115.9414277277771,39.60110749931289,fd13a3f2683210fab1077dc4
向阳峪二区,房山,14339,https://bj.lianjia.com/xiaoqu/1111059307176/,向阳峪,北京市房山区,115.91913231606652,39.71191433781004,bc018f6da30574e1f60e771c
河南村农行家属院,顺义,14377,https://bj.lianjia.com/xiaoqu/1111027375175/,河南村农行家属院,河南村农行家属院,116.68703359839294,40.10910363920888,6d0e6fed14166e10c9c3db0c
